Measurement;10;1.22605
Measurement;12;1.22574
Measurement;14;1.22709
Measurement;16;1.22773
Measurement;19;1.22948
Measurement;22;1.2275
Measurement;26;1.22693
Measurement;31;1.23472
Measurement;37;1.56398
Measurement;44;1.79872
Measurement;52;1.9788
Measurement;62;2.34023
Measurement;74;3.29034
Measurement;88;3.33141
Measurement;105;3.54766
Measurement;126;3.6389
Measurement;151;3.70508
Measurement;181;3.7079
Measurement;217;3.72291
Measurement;260;3.84137
Measurement;312;3.83256
Measurement;374;3.97424
Measurement;448;4.92705
Measurement;537;6.10154
Measurement;644;7.07092
Measurement;772;8.17204
Measurement;926;9.47942
Measurement;1111;11.5889
Measurement;1333;14.0274
Measurement;1599;17.0096
Measurement;1918;20.1732
Measurement;2301;22.891
Measurement;2761;24.9108
Measurement;3313;26.2662
Measurement;3975;27.1033
Measurement;4770;27.397
Measurement;5724;27.6007
Measurement;6868;28.038
Measurement;8241;29.2076
Measurement;9889;30.0356
Measurement;11866;31.1789
Measurement;14239;32.2585
Measurement;17086;34.06
Measurement;20503;36.8559
Measurement;24603;40.5057
Measurement;29523;45.0675
Measurement;35427;54.3815
Measurement;42512;70.5874
Measurement;51014;89.1356
Measurement;61216;107.182
Measurement;73459;117.323
Measurement;88150;121.706
Measurement;105780;120.167
Measurement;126936;120.243
Measurement;152323;120.196
Measurement;182787;120.438
Measurement;219344;119.892
Measurement;263212;121.179
Measurement;315854;119.797
Measurement;379024;119.547
Measurement;454828;120.416
Measurement;545793;121.304
Measurement;654951;120.495
Measurement;785941;121.86
Measurement;943129;121.782
